Popular_Artist,Songs
Iron Maiden,213
U2,135
Led Zeppelin,114
Metallica,112
Deep Purple,92
Lost,92
Pearl Jam,67
Lenny Kravitz,57
Various Artists,56
The Office,53
Faith No More,52
Van Halen,52
Os Paralamas Do Sucesso,49
Eric Clapton,48
Red Hot Chili Peppers,48
Queen,45
Foo Fighters,44
Guns N' Roses,42
R.E.M.,41
The Rolling Stones,41
Audioslave,40
Creedence Clearwater Revival,40
Titãs,38
Miles Davis,37
Chico Science & Nação Zumbi,36
Kiss,35
Chico Buarque,34
Green Day,34
Smashing Pumpkins,34
Gilberto Gil,32
Jamiroquai,32
Ozzy Osbourne,32
Antônio Carlos Jobim,31
Cidade Negra,31
Legião Urbana,31
Cássia Eller,30
The Cult,30
Tim Maia,30
Nirvana,29
Lulu Santos,28
Santana,27
Djavan,26
Milton Nascimento,26
The Tea Party,26
Battlestar Galactica (Classic),24
Frank Sinatra,24
Amy Winehouse,23
Heroes,23
Skank,23
Gene Krupa,22
Caetano Veloso,21
Spyro Gyra,21
Battlestar Galactica,20
James Brown,20
The Who,20
House Of Pain,19
The Black Crowes,19
Zeca Pagodinho,19
AC/DC,18
Black Label Society,18
Marisa Monte,18
Marvin Gaye,18
The Clash,18
Black Sabbath,17
Body Count,17
Jimi Hendrix,17
Marcos Valle,17
Mötley Crüe,17
O Rappa,17
Soundgarden,17
Def Leppard,16
Funk Como Le Gusta,16
Judas Priest,16
Planet Hemp,16
Aerosmith,15
Motörhead,15
O Terço,15
Toquinho & Vinícius,15
Vinícius De Moraes,15
Chris Cornell,14
Ed Motta,14
Elis Regina,14
Falamansa,14
Gonzaguinha,14
Jorge Ben,14
João Suplicy,14
Olodum,14
Os Mutantes,14
Passengers,14
Raul Seixas,14
Rush,14
The Police,14
UB40,14
Alanis Morissette,13
Incognito,13
JET,13
Velvet Revolver,13
Alice In Chains,12
BackBeat,12
David Coverdale,12
Godsmack,12
Jota Quest,12
Mônica Marianno,12
Page & Plant,12
Scorpions,12
Stone Temple Pilots,12
Bruce Dickinson,11
Buddy Guy,11
R.E.M. Feat. Kate Pearson,11
System Of A Down,11
The Doors,11
Cláudio Zoli,10
Joe Satriani,10
Marillion,10
Men At Work,10
Paul D'Ianno,10
Raimundos,10
Stevie Ray Vaughan & Double Trouble,10
Temple of the Dog,10
Dennis Chambers,9
Frank Zappa & Captain Beefheart,9
Pink Floyd,9
Apocalyptica,8
Billy Cobham,8
"Terry Bozzio, Tony Levin & Steve Stevens",7
Accept,4
Berliner Philharmoniker & Herbert Von Karajan,3
Eugene Ormandy,3
Academy of St. Martin in the Fields & Sir Neville Marriner,2
Aisha Duo,2
English Concert & Trevor Pinnock,2
Habib Koité and Bamada,2
Karsh Kale,2
Michael Tilson Thomas & San Francisco Symphony,2
The King's Singers,2
The Posies,2
Aaron Copland & London Symphony Orchestra,1
Aaron Goldberg,1
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,1
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",1
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",1
Adrian Leaper & Doreen de Feis,1
Alberto Turco & Nova Schola Gregoriana,1
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",1
Antal Doráti & London Symphony Orchestra,1
Aquaman,1
Barry Wordsworth & BBC Concert Orchestra,1
Berliner Philharmoniker & Hans Rosbaud,1
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",1
Boston Symphony Orchestra & Seiji Ozawa,1
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",1
"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",1
Cake,1
Calexico,1
Charles Dutoit & L'Orchestre Symphonique de Montréal,1
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",1
Chicago Symphony Orchestra & Fritz Reiner,1
Choir Of Westminster Abbey & Simon Preston,1
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",1
Christopher O'Riley,1
Dread Zeppelin,1
Edo de Waart & San Francisco Symphony,1
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",1
Emerson String Quartet,1
"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",1
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",1
Fretwork,1
Gerald Moore,1
Gustav Mahler,1
Göteborgs Symfoniker & Neeme Järvi,1
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",1
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",1
Itzhak Perlman,1
James Levine,1
Julian Bream,1
Kent Nagano and Orchestre de l'Opéra de Lyon,1
Leonard Bernstein & New York Philharmonic,1
Les Arts Florissants & William Christie,1
London Symphony Orchestra & Sir Charles Mackerras,1
Luciana Souza/Romero Lubambo,1
Luciano Pavarotti,1
Martin Roscoe,1
Maurizio Pollini,1
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",1
Michele Campanella,1
Nash Ensemble,1
Nicolaus Esterhazy Sinfonia,1
Orchestra of The Age of Enlightenment,1
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,1
Otto Klemperer & Philharmonia Orchestra,1
Philharmonia Orchestra & Sir Neville Marriner,1
Philip Glass Ensemble,1
"Richard Marlow & The Choir of Trinity College, Cambridge",1
"Roger Norrington, London Classical Players",1
Royal Philharmonic Orchestra & Sir Thomas Beecham,1
Scholars Baroque Ensemble,1
Sergei Prokofiev & Yuri Temirkanov,1
Sir Georg Solti & Wiener Philharmoniker,1
"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",1
The 12 Cellists of The Berlin Philharmonic,1
Ton Koopman,1
Wilhelm Kempff,1
Yehudi Menuhin,1
Yo-Yo Ma,1
